"filename", "language", "JSON", "HTML", "JavaScript", "JSON with Comments", "SCSS", "Markdown", "XML", "comment", "blank", "total"
"/home/mcs/Workspace/js/js-vanilla-practice/.eslintrc.cjs", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"/home/mcs/Workspace/js/js-vanilla-practice/.prettierrc", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/mcs/Workspace/js/js-vanilla-practice/README.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 0, 9, 24
"/home/mcs/Workspace/js/js-vanilla-practice/index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/home/mcs/Workspace/js/js-vanilla-practice/jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/home/mcs/Workspace/js/js-vanilla-practice/package-lock.json", "JSON", 2584, 0, 0, 0, 0, 0, 0, 0, 1, 2585
"/home/mcs/Workspace/js/js-vanilla-practice/package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/addCircle.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/albums.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/arrowDown.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/arrowUp.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/bagHandle.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/chevronDown.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/chevronForward.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/chevronUp.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/dashboard.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/documentText.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/notifications.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/printer.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/search.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/threeDotsHorizontal.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/assets/icons/threeDotsVertical.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/constants/common.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"/home/mcs/Workspace/js/js-vanilla-practice/src/constants/icons.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 3, 66
"/home/mcs/Workspace/js/js-vanilla-practice/src/constants/index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/mcs/Workspace/js/js-vanilla-practice/src/constants/routes.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"/home/mcs/Workspace/js/js-vanilla-practice/src/main.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 1, 2, 6
"/home/mcs/Workspace/js/js-vanilla-practice/src/main.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mcs/Workspace/js/js-vanilla-practice/src/routes/index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/mcs/Workspace/js/js-vanilla-practice/src/routes/router.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/_index.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/abstracts/_index.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/abstracts/_variables.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 3, 3, 24
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/base/_common.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/base/_index.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/base/_reset.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/base/_typography.scss", "SCSS", 0, 0, 0, 0, 22, 0, 0, 8, 7, 37
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/_index.scss", "SCSS", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/_index.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/breadcrumb/_breadcrumb.scss", "SCSS", 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/breadcrumb/_index.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/button/_button.scss", "SCSS", 0, 0, 0, 0, 37, 0, 0, 0, 9, 46
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/button/_index.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/category/_category.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/category/_categoryToggle.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
